ORIGINAL STATUS ||  FINAL STATUS
Plane1 3     ----->  Plane1 12
Plane2 1     ----->  Plane2 13
Plane3 4     ----->  Plane3 16
Plane4 2     ----->  Plane4 14
Plane5 1     ----->  Plane5 13
Plane6 4     ----->  Plane6 16
Plane7 4     ----->  Plane8 11
Plane8 5     ----->  Plane7 16
Plane9 1     ----->  Plane9 13
Plane10 4     ----->  Plane10 16
Plane11 3     ----->  Plane11 15
Plane12 2     ----->  Plane12 14
Plane13 4     ----->  Plane14 11
Plane14 5     ----->  Plane13 16
Plane15 2     ----->  Plane15 11
Plane16 5     ----->  Plane16 14
Plane17 1     ----->  Plane17 13
Plane18 2     ----->  Plane18 14
Plane19 4     ----->  Plane20 11
Plane20 5     ----->  Plane19 16
Plane21 5     ----->  Plane21 14
Plane22 3     ----->  Plane22 12
Plane23 3     ----->  Plane23 12
Plane24 4     ----->  Plane24 13
Plane25 2     ----->  Plane25 11
Plane26 4     ----->  Plane26 13
Plane27 3     ----->  Plane27 12
Plane28 4     ----->  Plane28 13
Plane29 4     ----->  Plane29 13
Plane30 1     ----->  Plane30 13
Plane31 1     ----->  Plane31 13
Plane32 4     ----->  Plane33 11
Plane33 5     ----->  Plane32 16
Plane34 1     ----->  Plane34 13
Plane35 1     ----->  Plane35 13
Plane36 2     ----->  Plane36 14
Plane37 4     ----->  Plane37 16
Plane38 1     ----->  Plane39 11
Plane39 5     ----->  Plane38 13
Plane40 4     ----->  Plane40 13
Plane41 5     ----->  Plane41 14
Plane42 3     ----->  Plane42 12
Plane43 5     ----->  Plane43 14
Plane44 4     ----->  Plane44 13
Plane45 2     ----->  Plane45 11
Plane46 3     ----->  Plane46 12
Plane47 1     ----->  Plane47 13
Plane48 2     ----->  Plane48 14
Plane49 3     ----->  Plane49 15
Plane50 4     ----->  Plane51 11
Plane51 5     ----->  Plane50 16
Plane52 1     ----->  Plane53 11
Plane53 5     ----->  Plane52 13
Plane54 2     ----->  Plane54 11
Plane55 4     ----->  Plane55 13
Plane56 5     ----->  Plane56 14
Plane57 2     ----->  Plane57 11
Plane58 2     ----->  Plane58 11
Plane59 3     ----->  Plane59 12
Plane60 1     ----->  Plane60 13
Plane61 3     ----->  Plane61 15
Plane62 3     ----->  Plane62 15
Plane63 4     ----->  Plane63 16
Plane64 3     ----->  Plane64 15
Plane65 3     ----->  Plane65 15
Plane66 2     ----->  Plane66 14
Plane67 1     ----->  Plane67 13
Plane68 1     ----->  Plane68 13
Plane69 2     ----->  Plane69 14
Plane70 2     ----->  Plane70 14
Plane71 1     ----->  Plane71 13
Plane72 3     ----->  Plane72 15
Plane73 1     ----->  Plane73 13
Plane74 3     ----->  Plane75 11
Plane75 5     ----->  Plane74 15
Plane76 2     ----->  Plane76 11
Plane77 5     ----->  Plane77 14
Plane78 2     ----->  Plane78 11
Plane79 2     ----->  Plane79 11
Plane80 5     ----->  Plane80 14
Plane81 5     ----->  Plane81 14
Plane82 4     ----->  Plane82 13
Plane83 5     ----->  Plane83 14
Plane84 4     ----->  Plane84 13
Plane85 1     ----->  Plane85 13
Plane86 1     ----->  Plane86 13
Plane87 3     ----->  Plane87 15
Plane88 1     ----->  Plane89 11
Plane89 5     ----->  Plane88 13
Plane90 3     ----->  Plane90 12
Plane91 5     ----->  Plane91 14
Plane92 1     ----->  Plane92 13
Plane93 4     ----->  Plane93 16
Plane94 3     ----->  Plane94 15
Plane95 1     ----->  Plane95 13
Plane96 3     ----->  Plane97 11
Plane97 5     ----->  Plane96 15
Plane98 5     ----->  Plane98 14
Plane99 2     ----->  Plane99 11
Plane100 3     ----->  Plane100 12
